date,location,time,type,latitude,longitude
2024-06-11,Eurajoki,16:46:37,Öljy- tai ympäristöonnettomuus maalla,61.203547237,21.73409618
2024-06-11,Oulu,16:38:23,Palohälytys,65.013784817,25.47209907
2024-06-11,Turku,16:27:08,Rakennuspalo,60.451690351,22.266866666
2024-06-11,Kerava,16:25:15,Öljy- tai ympäristöonnettomuus maalla,60.404868786,25.103548718
2024-06-11,Sodankylä,16:19:40,Palohälytys,67.414920225,26.590673697
2024-06-11,Kuopio,16:05:51,Ihmisen pelastaminen vedestä,62.892982923,27.688934744
2024-06-11,Helsinki,12:42:00,Ensitiedote liikenneonnettomuudesta.,60.166640739,24.943536799
2024-06-11,Vantaa,15:39:51,Rakennuspalo,60.298133721,25.006641332
2024-06-11,Lohja,15:35:33,Rakennuspalo,60.250916253,24.065782053
2024-06-11,Helsinki,15:28:21,Öljy- tai ympäristöonnettomuus maalla,60.166640739,24.943536799
2024-06-11,Vantaa,15:24:22,Öljy- tai ympäristöonnettomuus maalla,60.298133721,25.006641332
2024-06-11,Lapua,15:22:44,Palohälytys,62.970168655,23.007570333
2024-06-11,Turku,15:21:47,Vahingontorjunta,60.451690351,22.266866666
2024-06-11,Turku,15:21:47,Vahingontorjunta,60.451690351,22.266866666
2024-06-11,Ulvila,15:19:32,Ihmisen pelastaminen,61.432652934,21.888033305
2024-06-11,Helsinki,12:12:00,Liikennetiedote onnettomuudesta. Tilanne ohi.,60.166640739,24.943536799
2024-06-11,Helsinki,15:09:58,Tieliikenneonnettomuus,60.166640739,24.943536799
2024-06-11,Hollola,15:09:22,Öljy- tai ympäristöonnettomuus maalla,60.988606497,25.512813466
2024-06-11,Helsinki,15:08:45,Palohälytys,60.166640739,24.943536799
2024-06-11,Laukaa,14:55:55,Eläimen pelastaminen,62.413528005,25.957777304
2024-06-11,Vantaa,14:55:51,Tieliikenneonnettomuus,60.298133721,25.006641332
2024-06-11,Vantaa,14:55:45,Tieliikenneonnettomuus,60.298133721,25.006641332
2024-06-11,Kirkkonummi,14:48:41,Vahingontorjunta,60.12065796,24.438913078
2024-06-11,Kouvola,14:46:25,Palohälytys,60.866825214,26.705598153
2024-06-11,Kotka,14:45:09,Palohälytys,60.465520795,26.941152634
2024-06-11,Jämsä,14:33:32,Liikennevälinepalo,61.864256654,25.190231473
2024-06-11,Helsinki,14:33:30,Rakennuspalo,60.166640739,24.943536799
2024-06-11,Helsinki,14:33:30,Rakennuspalo,60.166640739,24.943536799
2024-06-11,Kouvola,14:31:09,Tulipalo,60.866825214,26.705598153
2024-06-11,Joensuu,14:30:17,Eläimen pelastaminen,62.602079226,29.759679275
2024-06-11,Helsinki,14:28:10,Öljy- tai ympäristöonnettomuus maalla,60.166640739,24.943536799
2024-06-11,Iisalmi,14:18:08,Rakennuspalo,63.559688616,27.186983669
2024-06-11,Jyväskylä,14:14:44,Eläimen pelastaminen,62.241677684,25.749498121
2024-06-11,Turku,14:04:38,Palohälytys,60.451690351,22.266866666
2024-06-11,Helsinki,14:00:35,Eläimen pelastaminen,60.166640739,24.943536799
2024-06-11,Ylöjärvi,13:59:54,Vahingontorjunta,61.55715602,23.596580124
2024-06-11,Ii,13:57:46,Ihmisen pelastaminen vedestä,65.322611335,25.374983789
2024-06-11,Keminmaa,13:54:34,Vahingontorjunta,65.798981364,24.54262919
2024-06-11,Laukaa,13:46:41,Ihmisen pelastaminen vedestä,62.413528005,25.957777304
2024-06-11,Vantaa,13:38:28,Tieliikenneonnettomuus,60.298133721,25.006641332
2024-06-11,Oulu,13:38:18,Vahingontorjunta,65.013784817,25.47209907
2024-06-11,Joensuu,13:34:04,Palohälytys,62.602079226,29.759679275
2024-06-11,Turku,13:30:44,Palohälytys,60.451690351,22.266866666
2024-06-11,Nurmijärvi,13:24:36,Öljy- tai ympäristöonnettomuus vesistössä,60.460806119,24.807369231
2024-06-11,Lahti,13:23:00,Rakennuspalo,60.980380564,25.654987962
2024-06-11,Tampere,13:21:18,Palohälytys,61.49774257,23.761290078
2024-06-11,Salo,13:16:06,Rakennuspalo,60.384373601,23.126727127
2024-06-11,Kouvola,13:14:09,Palohälytys,60.866825214,26.705598153
2024-06-11,Kotka,13:11:29,Eläimen pelastaminen,60.465520795,26.941152634
2024-06-11,Savonlinna,13:11:02,Palohälytys,61.869802657,28.87849829
2024-06-11,Leppävirta,12:58:09,Eläimen pelastaminen,62.491829038,27.788663006
2024-06-11,Vihti,12:57:34,Palohälytys,60.416791924,24.319858395
2024-06-11,Koski Tl,12:46:43,Tieliikenneonnettomuus,60.652981939,23.137367393
2024-06-11,Helsinki,12:44:38,Rakennuspalo,60.166640739,24.943536799
2024-06-11,Lapinlahti,12:42:17,Palohälytys,63.364517752,27.387415475
2024-06-11,Hämeenlinna,09:36:00,Liikennetiedote onnettomuudesta. Tilanne ohi.,60.996174323,24.464424988
2024-06-11,Parkano,12:28:15,Eläimen pelastaminen,62.010623403,23.021041049
2024-06-11,Helsinki,12:19:58,Tieliikenneonnettomuus,60.166640739,24.943536799
2024-06-11,Soini,12:18:56,Vahingontorjunta,62.87297229,24.210173232
2024-06-11,Hämeenlinna,12:14:37,Tieliikenneonnettomuus,60.996174323,24.464424988
2024-06-11,Kotka,12:12:05,Palohälytys,60.465520795,26.941152634
2024-06-11,Sysmä,12:03:38,Vahingontorjunta,61.503771936,25.68370291
2024-06-11,Salo,12:02:51,Rakennuspalo,60.384373601,23.126727127
2024-06-11,Salo,12:02:51,Rakennuspalo,60.384373601,23.126727127
2024-06-11,Turku,11:53:14,Rakennuspalo,60.451690351,22.266866666
2024-06-11,Vaasa,11:46:48,Rakennuspalo,63.092588875,21.615874122
2024-06-11,Luumäki,11:28:58,Öljy- tai ympäristöonnettomuus maalla,60.92092464,27.559740129
2024-06-11,Vieremä,11:26:22,Palohälytys,63.744069514,27.005160452
